NAME,SUBSCRIPTION,RESOURCE GROUP,LOCATION,STATUS,OPERATING SYSTEM,SIZE,PUBLIC IP ADDRESS,DISKS,UPDATE STATUS
"VM","Azure for Students","RESGROUP","Poland Central","Stopped (deallocated)","Linux","Standard_B2ats_v2","74.248.251.142","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/105a1088-60eb-4483-9326-070a22bf85db/resourcegroups/resgroup/providers/microsoft.compute/virtualmachines/vm""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
"VM-PolandCentral-01","Azure for Students","RG-UkSouth","Poland Central","Stopped (deallocated)","Linux","Standard_B2ats_v2","20.215.232.77","1","{""text"":""Enable periodic assessment"",""blade"":""UpdateCenterUpdateSettingsBlade"",""extension"":""Microsoft_Azure_Automation"",""parameters"":{""ids"":[""/subscriptions/105a1088-60eb-4483-9326-070a22bf85db/resourcegroups/rg-uksouth/providers/microsoft.compute/virtualmachines/vm-polandcentral-01""],""source"":""VirtualMachines_BrowseResourceBlade""}}"
